"","SCC","Data.Category","Short.Name","EI.Sector","Option.Group"
"46","10100711","Point","Ext Comb /Electric Gen /Process Gas /Landfill Gas","Fuel Comb - Electric Generation - Other",""
"47","10100712","Point","Ext Comb /Electric Gen /Process Gas /Digester Gas","Fuel Comb - Electric Generation - Other",""
"48","10100801","Point","Ext Comb /Electric Gen /Petroleum Coke /All Boiler Sizes","Fuel Comb - Electric Generation - Other",""
"49","10100818","Point","Ext Comb /Electric Gen /Petroleum Coke /Circulating Fluidized Bed Combustion","Fuel Comb - Electric Generation - Other",""
"50","10100901","Point","Ext Comb /Electric Gen /Bark-fired Boiler","Fuel Comb - Electric Generation - Biomass",""
"51","10100902","Point","Ext Comb /Electric Gen /Wood/Bark Fired Boiler","Fuel Comb - Electric Generation - Biomass",""
"52","10100903","Point","Ext Comb /Electric Gen /Wood-fired Boiler - Wet Wood (:=20% moisture)","Fuel Comb - Electric Generation - Biomass",""
"53","10100908","Point","Ext Comb /Electric Gen /Wood-fired Boiler - Dry Wood (<20% moisture)","Fuel Comb - Electric Generation - Biomass",""
"54","10100910","Point","Ext Comb /Electric Gen /Wood/Bark Waste /Fuel cell/Dutch oven boilers **","Fuel Comb - Electric Generation - Biomass",""
"55","10100911","Point","Ext Comb /Electric Gen /Wood/Bark Waste /Stoker boilers **","Fuel Comb - Electric Generation - Biomass",""
"56","10100912","Point","Ext Comb /Electric Gen /Wood/Bark Waste /Fluidized bed combustion boilers","Fuel Comb - Electric Generation - Biomass",""
"57","10101001","Point","Ext Comb /Electric Gen /LPG /Butane","Fuel Comb - Electric Generation - Other",""
"58","10101002","Point","Ext Comb /Electric Gen /LPG /Propane","Fuel Comb - Electric Generation - Other",""
"59","10101003","Point","Ext Comb /Electric Gen /LPG /Butane/Propane Mixture: Specify Percent Butane in Comments","Fuel Comb - Electric Generation - Other",""
"60","10101101","Point","Ext Comb /Electric Gen /Bagasse /All Boiler Sizes","Fuel Comb - Electric Generation - Other",""
"61","10101201","Point","Ext Comb /Electric Gen /Solid Waste /Specify Waste Material in Comments","Fuel Comb - Electric Generation - Other",""
"62","10101202","Point","Ext Comb /Electric Gen /Solid Waste /Refuse Derived Fuel","Fuel Comb - Electric Generation - Other",""
"63","10101204","Point","Ext Comb /Electric Gen /Solid Waste /Tire Derived Fuel : Shredded","Fuel Comb - Electric Generation - Other",""
"64","10101205","Point","Ext Comb /Electric Gen /Solid Waste /Sludge Waste","Fuel Comb - Electric Generation - Other",""
"65","10101206","Point","Ext Comb /Electric Gen /Solid Waste /Agric Byproducts (rice or peanut hulls, shells, cow manure, etc","Fuel Comb - Electric Generation - Other",""
"66","10101207","Point","Ext Comb /Electric Gen /Solid Waste /Other Biomass Solids","Fuel Comb - Electric Generation - Other",""
"67","10101208","Point","Ext Comb /Electric Gen /Solid Waste /Paper Pellets","Fuel Comb - Electric Generation - Other",""
"68","10101301","Point","Ext Comb /Electric Gen /Liquid Waste /Specify Waste Material in Comments","Fuel Comb - Electric Generation - Other",""
"69","10101302","Point","Ext Comb /Electric Gen /Liquid Waste /Waste Oil","Fuel Comb - Electric Generation - Other",""
"70","10101304","Point","Ext Comb /Electric Gen /Liquid Waste /Black Liquor","Fuel Comb - Electric Generation - Other",""
"71","10101305","Point","Ext Comb /Electric Gen /Liquid Waste /Red Liquor","Fuel Comb - Electric Generation - Other",""
"72","10101306","Point","Ext Comb /Electric Gen /Liquid Waste /Spent Sulfite Liquor","Fuel Comb - Electric Generation - Other",""
"73","10101307","Point","Ext Comb /Electric Gen /Liquid Waste /Tall Oil","Fuel Comb - Electric Generation - Other",""
"74","10101308","Point","Ext Comb /Electric Gen /Liquid Waste /Wood/Wood Waste Liquid","Fuel Comb - Electric Generation - Other",""
"75","10101501","Point","Ext Comb /Electric Gen /Geothermal Power Plant: Off-gas Ejectors","Fuel Comb - Electric Generation - Other",""
"76","10101502","Point","Ext Comb /Electric Gen /Geothermal Power Plant: Cooling Tower Exhaust","Fuel Comb - Electric Generation - Other",""
"77","10101601","Point","Ext Comb /Electric Gen /Methanol /All","Fuel Comb - Electric Generation - Other",""
"78","10101801","Point","Ext Comb /Electric Gen /Hydrogen /All","Fuel Comb - Electric Generation - Other",""
"79","10101901","Point","Ext Comb /Electric Gen /Coal-based Synfuel /All","Fuel Comb - Electric Generation - Other",""
"80","10102001","Point","Ext Comb /Electric Gen /Waste Coal /All","Fuel Comb - Electric Generation - Coal",""
"81","10102018","Point","Ext Comb /Electric Gen /Waste Coal /Circulating Fluidized Bed","Fuel Comb - Electric Generation - Coal",""
"82","10102101","Point","Ext Comb /Electric Gen /Other Oil /All","Fuel Comb - Electric Generation - Oil",""
"83","10200101","Point","Ext Comb /Industrial /Anthracite Coal /Pulverized Coal","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"84","10200104","Point","Ext Comb /Industrial /Anthracite Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"85","10200107","Point","Ext Comb /Industrial /Anthracite Coal /Hand-fired","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"86","10200117","Point","Ext Comb /Industrial /Anthracite Coal /Fluidized Bed Boiler Burning Anthracite-Culm Fuel","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"87","10200201","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Wet Bottom","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"88","10200202","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Dry Bottom","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"89","10200203","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Cyclone Furnace","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"90","10200204","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Spreader Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"91","10200205","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Overfeed Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"92","10200206","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Underfeed Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal",""
"93","10200210","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Overfeed Stoker **","Fuel Comb - Industrial Boilers, ICEs - Coal",""
